fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.4;0.22;0.3;11.2;0.046;53.0;149.0;0.99479;3.21;0.34;10.8;5
6.3;0.2;0.37;11.8;0.045;58.0;130.0;0.99519;3.2;0.35;10.8;5
6.4;0.22;0.31;13.9;0.04;57.0;135.0;0.99672;3.21;0.38;10.7;5
6.6;0.22;0.34;11.6;0.05;59.0;140.0;0.99526;3.22;0.4;10.8;5
6.9;0.23;0.32;16.4;0.045;62.0;153.0;0.9972;3.22;0.42;10.5;5
6.1;0.22;0.28;16.55;0.059;54.0;135.0;0.99665;3.2;0.38;10.5;5
6.4;0.21;0.34;16.05;0.04;56.0;142.0;0.99678;3.11;0.38;10.6;5
6.1;0.15;0.35;15.8;0.042;55.0;158.0;0.99642;3.24;0.37;10.6;5
6.5;0.2;0.24;9.2;0.044;25.0;150.0;0.99502;3.22;0.44;10.5;5
6.3;0.25;0.27;6.6;0.054;40.0;158.0;0.99378;3.2;0.48;10.3;5
6.4;0.28;0.23;6.0;0.051;50.0;162.0;0.994;3.15;0.52;10.2;5
6.1;0.28;0.27;8.0;0.048;41.0;162.0;0.99498;3.21;0.51;9.9;5
5.8;0.27;0.2;7.3;0.04;42.0;145.0;0.99442;3.15;0.48;9.8;5
5.8;0.34;0.21;7.2;0.041;48.0;146.0;0.99441;3.16;0.49;9.8;5
5.6;0.3;0.1;6.4;0.043;34.0;142.0;0.99382;3.14;0.48;9.8;5
5.8;0.3;0.09;6.3;0.042;36.0;138.0;0.99382;3.15;0.48;9.7;5
6.2;0.33;0.14;4.8;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
6.2;0.33;0.14;4.8;0.052;27.0;128.0;0.99475;3.21;0.48;9.4;5
6.5;0.31;0.14;7.5;0.044;34.0;133.0;0.9955;3.22;0.5;9.5;5
6.3;0.3;0.24;6.6;0.04;38.0;141.0;0.995;3.22;0.47;9.5;5
6.2;0.24;0.22;7.9;0.053;45.0;149.0;0.99545;3.23;0.52;9.3;5
6.2;0.24;0.22;7.9;0.053;45.0;149.0;0.99545;3.23;0.52;9.3;5
6.4;0.24;0.23;7.3;0.069;31.0;157.0;0.9962;3.25;0.53;9.1;5
6.2;0.24;0.25;12.5;0.055;47.0;134.0;0.99758;3.3;0.51;9.0;5
6.2;0.21;0.26;13.1;0.05;59.0;150.0;0.99772;3.31;0.46;9.0;5
6.1;0.25;0.24;12.1;0.046;51.0;172.0;0.998;3.35;0.45;9.5;5
6.0;0.29;0.2;12.6;0.045;45.0;187.0;0.9972;3.33;0.42;9.5;5
5.9;0.25;0.19;12.4;0.047;50.0;162.0;0.9973;3.35;0.38;9.5;5
6.0;0.21;0.24;12.1;0.05;55.0;164.0;0.997;3.34;0.39;9.4;5
5.9;0.23;0.3;12.9;0.054;57.0;170.0;0.9972;3.28;0.39;9.4;5
5.9;0.21;0.24;12.1;0.044;53.0;165.0;0.9969;3.25;0.39;9.5;5
5.8;0.25;0.26;13.1;0.051;44.0;148.0;0.9972;3.29;0.38;9.3;5
5.8;0.25;0.24;13.3;0.044;41.0;137.0;0.9972;3.34;0.42;9.5;5
5.9;0.26;0.25;12.5;0.034;38.0;152.0;0.9977;3.33;0.43;9.4;5
6.4;0.24;0.28;11.5;0.05;34.0;163.0;0.9969;3.31;0.45;9.5;5
6.4;0.24;0.29;11.4;0.051;32.0;166.0;0.9968;3.31;0.45;9.5;5
6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5
6.7;0.24;0.33;12.3;0.046;31.0;145.0;0.9983;3.36;0.4;9.5;5
6.6;0.22;0.28;12.05;0.058;25.0;125.0;0.99856;3.45;0.45;9.4;5
6.0;0.21;0.29;13.1;0.042;28.0;125.0;0.99936;3.39;0.45;8.6;5
6.8;0.24;0.31;18.3;0.046;40.0;142.0;1.0;3.3;0.41;8.7;5
6.8;0.24;0.31;18.3;0.046;40.0;142.0;1.0;3.3;0.41;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.8;0.21;0.27;18.15;0.042;41.0;146.0;1.0001;3.3;0.36;8.7;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.22;0.25;17.1;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43.0;133.0;0.99924;3.26;0.41;8.8;5
7.0;0.23;0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5
7.0;0.23;0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5
7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5
7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5
7.1;0.24;0.41;17.8;0.046;39.0;145.0;0.9998;3.32;0.39;8.7;5
7.1;0.24;0.41;17.8;0.046;39.0;145.0;0.9998;3.32;0.39;8.7;5
6.8;0.21;0.36;18.1;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5
6.8;0.21;0.36;18.1;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5
6.8;0.21;0.36;18.1;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5
7.0;0.25;0.29;15.2;0.047;40.0;171.0;0.9982;3.22;0.45;9.3;5
7.2;0.24;0.27;11.4;0.034;40.0;174.0;0.99773;3.2;0.44;9.0;5
7.2;0.24;0.27;11.4;0.034;40.0;174.0;0.99773;3.2;0.44;9.0;5
7.2;0.25;0.19;8.0;0.044;51.0;172.0;0.9964;3.16;0.44;9.2;5
7.2;0.29;0.18;8.2;0.042;41.0;180.0;0.99644;3.16;0.49;9.1;5
7.1;0.28;0.19;7.8;0.04;48.0;184.0;0.99579;3.16;0.5;9.4;5
7.1;0.28;0.19;7.8;0.04;48.0;184.0;0.99579;3.16;0.5;9.4;5
7.2;0.29;0.2;7.7;0.046;51.0;174.0;0.99582;3.16;0.52;9.5;5
7.1;0.26;0.19;8.2;0.051;53.0;187.0;0.996;3.16;0.52;9.7;5
7.1;0.26;0.19;8.2;0.051;53.0;187.0;0.996;3.16;0.52;9.7;5
6.6;0.23;0.18;8.5;0.044;59.0;188.0;0.99558;3.16;0.49;9.5;5
6.5;0.23;0.2;7.5;0.05;44.0;179.0;0.99504;3.18;0.48;9.53333333333333;5
6.4;0.26;0.21;8.2;0.05;51.0;182.0;0.99542;3.23;0.48;9.5;5
6.4;0.26;0.21;8.2;0.05;51.0;182.0;0.99542;3.23;0.48;9.5;5
6.3;0.3;0.19;7.7;0.049;47.0;184.0;0.99514;3.22;0.48;9.5;5
6.9;0.3;0.21;7.2;0.045;54.0;190.0;0.99595;3.22;0.48;9.4;5
6.4;0.28;0.17;8.3;0.042;61.0;195.0;0.99577;3.22;0.46;9.4;5
6.4;0.27;0.17;8.4;0.044;60.0;198.0;0.99578;3.21;0.47;9.4;5
6.7;0.27;0.25;8.0;0.053;54.0;202.0;0.9961;3.22;0.43;9.3;5
6.7;0.27;0.25;8.0;0.053;54.0;202.0;0.9961;3.22;0.43;9.3;5
6.6;0.28;0.3;7.8;0.049;57.0;202.0;0.9958;3.24;0.39;9.5;5
5.9;0.29;0.33;7.4;0.037;58.0;205.0;0.99495;3.26;0.41;9.6;5
6.4;0.31;0.39;7.5;0.04;57.0;213.0;0.99475;3.32;0.43;10.0;5
6.7;0.265;0.22;8.6;0.048;54.0;198.0;0.9955;3.25;0.41;10.2;5
6.9;0.37;0.23;9.5;0.057;54.0;166.0;0.99568;3.23;0.42;10.0;5
6.9;0.37;0.23;9.5;0.057;54.0;166.0;0.99568;3.23;0.42;10.0;5
7.1;0.34;0.2;6.1;0.063;47.0;164.0;0.9946;3.17;0.42;10.0;5
7.2;0.43;0.24;6.7;0.058;40.0;163.0;0.995;3.2;0.41;9.9;5
7.4;0.38;0.27;7.5;0.041;24.0;160.0;0.99535;3.17;0.43;10.0;5
7.4;0.37;0.26;9.6;0.05;33.0;134.0;0.99608;3.13;0.46;10.4;5
7.4;0.39;0.23;7.0;0.033;29.0;126.0;0.994;3.14;0.42;10.5;5
7.4;0.41;0.34;4.7;0.042;19.0;127.0;0.9953;3.25;0.42;10.4;5
7.3;0.34;0.21;3.2;0.05;14.0;136.0;0.9936;3.25;0.44;10.2;5
8.1;0.33;0.22;5.2;0.047;24.0;151.0;0.99527;3.22;0.47;10.3;5
7.6;0.29;0.26;6.5;0.042;32.0;160.0;0.9944;3.14;0.47;10.7;5
7.6;0.29;0.26;6.5;0.042;32.0;160.0;0.9944;3.14;0.47;10.7;5
7.8;0.29;0.33;8.75;0.035;33.0;181.0;0.9962;3.11;0.46;10.7;5
8.0;0.28;0.42;7.1;0.045;41.0;169.0;0.9959;3.17;0.43;10.6;5
8.0;0.28;0.42;7.1;0.045;41.0;169.0;0.9959;3.17;0.43;10.6;5
8.0;0.3;0.49;9.4;0.046;47.0;188.0;0.9964;3.14;0.48;10.0;5
7.9;0.29;0.36;11.1;0.033;43.0;208.0;0.9969;3.14;0.46;10.3;5
7.7;0.25;0.3;7.8;0.038;67.0;196.0;0.99555;3.1;0.5;10.1;5
7.7;0.25;0.3;7.8;0.038;67.0;196.0;0.99555;3.1;0.5;10.1;5
8.1;0.22;0.28;7.7;0.043;57.0;176.0;0.9954;3.12;0.55;10.0;5
7.4;0.27;0.26;11.8;0.053;55.0;173.0;0.99699;3.11;0.6;9.8;5
7.4;0.27;0.26;11.8;0.053;55.0;173.0;0.99699;3.11;0.6;9.8;5
7.4;0.27;0.26;11.8;0.053;55.0;173.0;0.99699;3.11;0.6;9.8;5
7.4;0.27;0.26;11.8;0.053;55.0;173.0;0.99699;3.11;0.6;9.8;5
6.8;0.3;0.33;12.8;0.041;60.0;168.0;0.99659;3.1;0.56;9.8;5
6.8;0.3;0.33;12.8;0.041;60.0;168.0;0.99659;3.1;0.56;9.8;5
6.4;0.31;0.31;12.9;0.045;55.0;161.0;0.99546;3.02;0.59;10.2;5
6.4;0.31;0.31;12.9;0.045;55.0;161.0;0.99546;3.02;0.59;10.2;5
7.3;0.36;0.34;14.8;0.057;46.0;173.0;0.99751;3.14;0.57;10.2;5
7.4;0.28;0.36;14.6;0.048;35.0;161.0;0.9968;3.14;0.56;10.6;5
7.5;0.29;0.36;15.7;0.05;29.0;124.0;0.9968;3.06;0.54;10.4;5
7.6;0.35;0.46;14.7;0.047;33.0;151.0;0.99709;3.03;0.53;10.3;5
7.4;0.23;0.38;8.6;0.052;41.0;150.0;0.99534;3.06;0.46;10.3;5
7.2;0.22;0.35;5.5;0.054;37.0;183.0;0.99474;3.08;0.5;10.3;5
5.9;0.46;0.14;2.7;0.042;27.0;160.0;0.9931;3.46;0.51;10.6;7
6.1;0.32;0.25;1.7;0.034;37.0;136.0;0.992;3.47;0.5;10.8;7
6.9;0.28;0.27;2.1;0.036;42.0;121.0;0.9926;3.42;0.49;10.8;7
6.0;0.27;0.27;1.6;0.046;32.0;113.0;0.9924;3.41;0.51;10.5;7
6.4;0.28;0.29;1.6;0.052;34.0;127.0;0.9929;3.48;0.56;10.5;7
6.4;0.28;0.29;1.6;0.052;34.0;127.0;0.9929;3.48;0.56;10.5;7
6.6;0.25;0.3;1.6;0.046;32.0;134.0;0.993;3.42;0.51;10.1;7
6.5;0.18;0.31;1.7;0.044;30.0;127.0;0.9928;3.49;0.5;10.2;7
6.7;0.15;0.29;5.0;0.058;28.0;105.0;0.9946;3.52;0.44;10.2;7
6.3;0.1;0.24;6.0;0.039;25.0;107.0;0.99511;3.59;0.49;10.5;7
5.6;0.18;0.3;10.2;0.028;28.0;131.0;0.9954;3.49;0.42;10.8;7
6.2;0.17;0.28;4.7;0.037;39.0;133.0;0.9931;3.41;0.46;10.8;7
6.5;0.19;0.32;1.4;0.04;31.0;132.0;0.9922;3.36;0.54;10.8;7
6.5;0.22;0.27;1.6;0.039;36.0;116.0;0.99178;3.38;0.57;11.0;7
6.1;0.25;0.3;1.2;0.036;42.0;107.0;0.991;3.34;0.56;10.8;7
6.4;0.25;0.32;0.9;0.034;40.0;114.0;0.99114;3.31;0.58;10.8;7
6.7;0.17;0.37;2.0;0.039;34.0;125.0;0.9922;3.26;0.6;10.8;7
6.6;0.21;0.39;2.3;0.041;31.0;102.0;0.99221;3.22;0.58;10.9;7
6.9;0.19;0.35;1.7;0.036;33.0;101.0;0.99315;3.21;0.54;10.8;7
6.9;0.19;0.35;1.7;0.036;33.0;101.0;0.99315;3.21;0.54;10.8;7
6.8;0.19;0.36;1.9;0.035;30.0;96.0;0.9917;3.15;0.54;10.8;7
7.0;0.23;0.35;1.4;0.036;31.0;113.0;0.9912;3.16;0.48;10.8;7
7.2;0.21;0.37;1.6;0.049;23.0;94.0;0.9924;3.16;0.48;10.9;7
6.8;0.23;0.3;1.7;0.043;19.0;95.0;0.99207;3.17;0.46;10.7;7
7.1;0.16;0.36;1.2;0.043;21.0;90.0;0.9925;3.16;0.42;11.0;7
7.0;0.16;0.36;2.6;0.029;28.0;98.0;0.99126;3.11;0.37;11.2;7
7.1;0.21;0.37;2.4;0.026;23.0;100.0;0.9903;3.15;0.38;11.4;7
7.0;0.24;0.35;1.0;0.032;42.0;104.0;0.98988;3.16;0.37;11.7;7
6.3;0.22;0.28;2.4;0.042;38.0;102.0;0.98998;3.14;0.37;11.6;7
5.8;0.22;0.29;0.9;0.034;34.0;89.0;0.98936;3.14;0.36;11.1;7
6.1;0.17;0.28;2.5;0.028;22.0;98.0;0.99072;3.16;0.37;11.1;7
5.8;0.2;0.27;1.4;0.031;12.0;77.0;0.9905;3.25;0.36;10.9;7
5.6;0.19;0.26;1.4;0.03;12.0;76.0;0.9905;3.25;0.37;10.9;7
6.5;0.16;0.33;1.0;0.027;23.0;75.0;0.9908;3.3;0.39;11.4;7
6.6;0.25;0.39;1.45;0.04;40.0;89.0;0.9911;3.35;0.4;11.4;7
6.5;0.28;0.29;2.7;0.038;26.0;107.0;0.9912;3.32;0.41;11.6;7
6.5;0.28;0.29;2.7;0.038;26.0;107.0;0.9912;3.32;0.41;11.6;7
6.2;0.3;0.32;1.7;0.032;30.0;130.0;0.9911;3.28;0.41;11.2;7
6.2;0.25;0.25;1.4;0.03;35.0;105.0;0.9912;3.3;0.44;11.1;7
6.2;0.25;0.25;1.4;0.03;35.0;105.0;0.9912;3.3;0.44;11.1;7
6.1;0.27;0.31;1.5;0.035;17.0;83.0;0.99076;3.32;0.44;11.1;7
6.1;0.27;0.31;1.5;0.035;17.0;83.0;0.99076;3.32;0.44;11.1;7
5.8;0.26;0.29;1.0;0.042;35.0;101.0;0.99044;3.36;0.48;11.4;7
5.6;0.235;0.29;1.2;0.047;33.0;127.0;0.991;3.34;0.5;11.0;7
6.0;0.2;0.33;1.1;0.039;45.0;126.0;0.99051;3.31;0.45;11.6;7
6.4;0.23;0.32;1.9;0.038;40.0;118.0;0.99074;3.32;0.53;11.8;7
6.5;0.28;0.34;3.6;0.04;29.0;121.0;0.99111;3.28;0.48;12.1;7
6.5;0.28;0.34;3.6;0.04;29.0;121.0;0.99111;3.28;0.48;12.1;7
6.5;0.28;0.34;4.6;0.054;22.0;130.0;0.99193;3.2;0.46;12.0;7
6.5;0.22;0.28;3.7;0.059;29.0;151.0;0.99177;3.23;0.41;12.1;7
5.8;0.23;0.31;3.5;0.044;35.0;158.0;0.98998;3.19;0.37;12.1;7
6.0;0.26;0.29;3.1;0.041;37.0;144.0;0.98944;3.22;0.39;12.8;7
6.0;0.26;0.29;3.1;0.041;37.0;144.0;0.98944;3.22;0.39;12.8;7
6.3;0.29;0.29;3.3;0.037;32.0;140.0;0.9895;3.17;0.36;12.8;7
6.3;0.29;0.29;3.3;0.037;32.0;140.0;0.9895;3.17;0.36;12.8;7
6.8;0.25;0.28;5.0;0.035;42.0;126.0;0.99048;3.12;0.38;12.6;7
7.0;0.22;0.31;2.7;0.03;41.0;136.0;0.9898;3.16;0.37;12.7;7
7.1;0.22;0.33;2.8;0.033;48.0;153.0;0.9899;3.15;0.38;12.7;7
7.2;0.2;0.34;2.7;0.032;49.0;151.0;0.99;3.16;0.39;12.7;7
6.9;0.21;0.33;1.8;0.034;48.0;136.0;0.9899;3.25;0.41;12.6;7
6.9;0.24;0.33;1.7;0.035;47.0;136.0;0.99;3.26;0.4;12.6;7
6.7;0.21;0.34;1.5;0.035;45.0;123.0;0.98949;3.24;0.36;12.6;7
6.7;0.18;0.37;1.3;0.027;42.0;125.0;0.98939;3.24;0.37;12.8;7
6.5;0.24;0.36;2.2;0.027;36.0;134.0;0.9898;3.28;0.36;12.5;7
6.2;0.29;0.32;3.6;0.026;39.0;138.0;0.9892;3.31;0.37;13.1;7
6.1;0.33;0.3;3.0;0.036;30.0;124.0;0.98922;3.31;0.4;13.1;7
6.0;0.32;0.3;1.9;0.033;41.0;142.0;0.98912;3.29;0.42;12.8;7
6.0;0.32;0.3;1.9;0.033;41.0;142.0;0.98912;3.29;0.42;12.8;7
6.1;0.3;0.32;2.2;0.042;41.0;142.0;0.98952;3.31;0.44;12.7;7
6.1;0.32;0.24;1.5;0.036;38.0;124.0;0.9898;3.29;0.42;12.4;7
6.1;0.32;0.24;1.5;0.036;38.0;124.0;0.9898;3.29;0.42;12.4;7
6.0;0.31;0.27;2.3;0.042;19.0;120.0;0.98952;3.32;0.41;12.7;7
6.0;0.31;0.27;2.3;0.042;19.0;120.0;0.98952;3.32;0.41;12.7;7
6.0;0.29;0.27;2.3;0.044;20.0;117.0;0.9895;3.31;0.41;12.7;7
5.5;0.29;0.3;1.1;0.022;20.0;110.0;0.98869;3.34;0.38;12.8;7
5.7;0.22;0.28;1.3;0.027;26.0;101.0;0.98948;3.35;0.38;12.5;7
5.7;0.24;0.3;1.3;0.03;25.0;98.0;0.98968;3.37;0.43;12.4;7
6.0;0.27;0.19;1.7;0.02;24.0;110.0;0.9898;3.32;0.47;12.6;7
5.4;0.33;0.31;4.0;0.03;27.0;108.0;0.99031;3.3;0.43;12.2;7
5.7;0.31;0.28;4.1;0.03;22.0;86.0;0.99062;3.31;0.38;11.7;7
5.7;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
5.8;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
5.8;0.32;0.38;4.75;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
6.0;0.34;0.32;3.8;0.044;13.0;116.0;0.99108;3.39;0.44;11.8;7
6.0;0.36;0.39;3.2;0.027;20.0;125.0;0.991;3.38;0.39;11.3;7
6.3;0.35;0.3;5.7;0.035;8.0;97.0;0.9927;3.27;0.41;11.0;7
6.3;0.35;0.3;5.7;0.035;8.0;97.0;0.9927;3.27;0.41;11.0;7
6.4;0.31;0.38;2.9;0.038;19.0;102.0;0.9912;3.17;0.35;11.0;7
6.1;0.32;0.28;6.6;0.021;29.0;132.0;0.99188;3.15;0.36;11.45;7
6.6;0.26;0.21;2.9;0.026;48.0;126.0;0.99089;3.22;0.38;11.3;7
6.6;0.26;0.21;2.9;0.026;48.0;126.0;0.99089;3.22;0.38;11.3;7
6.9;0.33;0.26;5.0;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;7
6.9;0.33;0.26;5.0;0.027;46.0;143.0;0.9924;3.25;0.43;11.2;7
6.2;0.39;0.24;4.8;0.037;45.0;138.0;0.99174;3.23;0.43;11.2;7
6.2;0.39;0.24;4.8;0.037;45.0;138.0;0.99174;3.23;0.43;11.2;7
6.2;0.39;0.24;4.8;0.037;45.0;138.0;0.99174;3.23;0.43;11.2;7
6.1;0.44;0.28;4.25;0.032;43.0;132.0;0.9916;3.26;0.47;11.2666666666667;7
6.1;0.44;0.28;4.25;0.032;43.0;132.0;0.9916;3.26;0.47;11.3;7
6.3;0.37;0.28;6.3;0.034;45.0;152.0;0.9921;3.29;0.46;11.6;7
6.3;0.37;0.28;6.3;0.034;45.0;152.0;0.9921;3.29;0.46;11.6;7
7.0;0.36;0.3;5.0;0.04;40.0;143.0;0.99173;3.33;0.42;12.2;7
7.1;0.34;0.31;5.2;0.032;36.0;140.0;0.99166;3.35;0.47;12.3;7
6.9;0.34;0.3;4.7;0.029;34.0;148.0;0.99165;3.36;0.49;12.3;7
7.3;0.3;0.33;2.3;0.043;28.0;125.0;0.99084;3.34;0.44;12.6;7
7.1;0.28;0.44;1.8;0.032;32.0;107.0;0.9907;3.25;0.48;12.2;7
7.2;0.23;0.39;2.3;0.033;29.0;102.0;0.9908;3.26;0.54;12.3;7
7.2;0.23;0.39;2.3;0.033;29.0;102.0;0.9908;3.26;0.54;12.3;7
6.5;0.22;0.32;2.2;0.028;36.0;92.0;0.99076;3.27;0.59;11.9;7
6.5;0.22;0.32;2.2;0.028;36.0;92.0;0.99076;3.27;0.59;11.9;7
6.7;0.22;0.37;1.6;0.028;24.0;102.0;0.9913;3.29;0.59;11.6;7
6.6;0.17;0.38;1.5;0.032;28.0;112.0;0.9914;3.25;0.55;11.4;7
6.8;0.13;0.39;1.4;0.034;19.0;102.0;0.99121;3.23;0.6;11.3;7
6.8;0.18;0.38;1.4;0.038;35.0;111.0;0.9918;3.32;0.59;11.2;7
6.5;0.18;0.33;1.4;0.029;35.0;138.0;0.99114;3.36;0.6;11.5;7
6.5;0.18;0.33;1.4;0.029;35.0;138.0;0.99114;3.36;0.6;11.5;7
6.5;0.16;0.34;1.4;0.029;29.0;133.0;0.99108;3.33;0.64;11.5;7
6.0;0.2;0.32;3.0;0.031;26.0;118.0;0.99134;3.38;0.68;11.2;7
5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7
5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7
